period_start,review_count,high_score_ratio,average_rating
2017-09-11,152,0.3684210526315789,3.0328947368421053
2017-09-18,176,0.3068181818181818,2.9545454545454546
2017-09-25,194,0.26288659793814434,2.8092783505154637
2017-10-02,160,0.25625,2.9
2017-10-09,158,0.31645569620253167,3.0316455696202533
2017-10-16,144,0.2916666666666667,2.9097222222222223
2017-10-23,193,0.25906735751295334,2.7979274611398965
2017-10-30,126,0.3492063492063492,2.8492063492063493
2017-11-06,331,0.338368580060423,3.0574018126888216
2017-11-13,237,0.2911392405063291,2.9156118143459917
2017-11-20,215,0.3488372093023256,2.9674418604651165
2017-11-27,187,0.31016042780748665,2.9197860962566846
2017-12-04,229,0.43231441048034935,3.1004366812227073
2017-12-11,226,0.3805309734513274,2.995575221238938
2017-12-18,202,0.3069306930693069,2.9455445544554455
2017-12-25,252,0.3611111111111111,3.0515873015873014
2018-01-01,205,0.2634146341463415,2.765853658536585
2018-01-08,199,0.3165829145728643,2.8542713567839195
2018-01-15,191,0.28272251308900526,2.7905759162303663
2018-01-22,152,0.2631578947368421,2.7302631578947367
2018-01-29,183,0.28415300546448086,2.8469945355191255
2018-02-05,159,0.2578616352201258,2.779874213836478
2018-02-12,169,0.2603550295857988,2.7633136094674557
2018-02-19,205,0.3024390243902439,2.8780487804878048
2018-02-26,211,0.3412322274881517,2.947867298578199
2018-03-05,196,0.32142857142857145,2.892857142857143
2018-03-12,499,0.34468937875751504,2.755511022044088
2018-03-19,239,0.2719665271966527,2.7322175732217575
2018-03-26,234,0.3034188034188034,2.8675213675213675
2018-04-02,267,0.2958801498127341,2.816479400749064
2018-04-09,229,0.2794759825327511,2.8296943231441047
2018-04-16,206,0.2766990291262136,2.936893203883495
2018-04-23,202,0.32673267326732675,2.900990099009901
2018-04-30,212,0.33962264150943394,2.9056603773584904
2018-05-07,207,0.3719806763285024,2.898550724637681
2018-05-14,214,0.32242990654205606,2.850467289719626
2018-05-21,159,0.3018867924528302,2.9056603773584904
2018-05-28,185,0.32972972972972975,2.9567567567567568
2018-06-04,187,0.2620320855614973,2.8609625668449197
2018-06-11,184,0.30978260869565216,2.880434782608696
2018-06-18,188,0.20212765957446807,2.632978723404255
2018-06-25,181,0.292817679558011,2.9613259668508287
2018-07-02,177,0.3220338983050847,2.853107344632768
