period_start,text_sentiment_label,review_count,average_rating
2014-09-08,neutral,66,1.5606
2014-09-08,negative,39,1.641
2014-09-08,positive,39,2.5128
2014-09-15,positive,50,3.02
2014-09-15,neutral,42,1.9762
2014-09-15,negative,23,2.0
2014-09-22,positive,44,3.1591
2014-09-22,neutral,28,2.6071
2014-09-22,negative,17,2.3529
2014-09-29,positive,31,3.0323
2014-09-29,neutral,27,2.5556
2014-09-29,negative,13,2.1538
2014-10-06,positive,35,2.7429
2014-10-06,neutral,30,2.5667
2014-10-06,negative,12,1.6667
2014-10-13,positive,29,3.0
2014-10-13,neutral,17,2.2353
2014-10-13,negative,16,2.25
2014-10-20,positive,35,2.8571
2014-10-20,neutral,12,2.3333
2014-10-20,negative,8,2.0
2014-10-27,positive,51,3.0
2014-10-27,negative,22,2.5
2014-10-27,neutral,19,2.1579
2014-11-03,positive,43,3.0465
2014-11-03,neutral,31,2.3871
2014-11-03,negative,15,2.2
2014-11-10,positive,40,2.85
2014-11-10,negative,23,2.2609
2014-11-10,neutral,21,2.381
2014-11-17,positive,34,2.6176
2014-11-17,negative,19,2.1053
2014-11-17,neutral,16,2.5
2014-11-24,positive,43,3.0
2014-11-24,negative,26,2.2308
2014-11-24,neutral,22,2.5
2014-12-01,positive,41,3.0244
2014-12-01,negative,25,2.32
2014-12-01,neutral,18,2.1111
2014-12-08,positive,25,3.32
2014-12-08,neutral,21,1.9048
2014-12-08,negative,19,2.9474
2014-12-15,positive,40,2.675
2014-12-15,negative,21,2.6667
2014-12-15,neutral,17,2.8235
2014-12-22,positive,96,3.2708
2014-12-22,neutral,41,2.561
2014-12-22,negative,35,2.1143
2014-12-29,positive,75,3.3333
2014-12-29,negative,40,2.4
2014-12-29,neutral,38,2.2632
2015-01-05,positive,49,2.9592
2015-01-05,neutral,46,1.9348
2015-01-05,negative,16,2.0625
2015-01-12,positive,49,2.8367
2015-01-12,neutral,33,2.1818
2015-01-12,negative,15,2.3333
2015-01-19,positive,30,2.8333
2015-01-19,neutral,24,2.3333
2015-01-19,negative,13,2.0
2015-01-26,positive,50,2.68
2015-01-26,neutral,32,2.2812
2015-01-26,negative,18,2.3333
2015-02-02,positive,42,2.9762
2015-02-02,neutral,27,2.3704
2015-02-02,negative,21,1.9048
2015-02-09,positive,44,2.9773
2015-02-09,neutral,27,2.3704
2015-02-09,negative,20,2.05
2015-02-16,positive,43,3.0
2015-02-16,neutral,31,2.1935
2015-02-16,negative,16,2.1875
2015-02-23,neutral,25,2.2
2015-02-23,positive,25,2.88
2015-02-23,negative,21,2.381
2015-03-02,positive,50,3.28
2015-03-02,neutral,34,2.4706
2015-03-02,negative,18,1.5556
2015-03-09,positive,52,2.6346
2015-03-09,neutral,50,2.18
2015-03-09,negative,37,2.2703
2015-03-16,positive,293,3.2696
2015-03-16,negative,181,1.6298
2015-03-16,neutral,170,2.2235
2015-03-23,positive,158,3.557
2015-03-23,neutral,72,2.75
2015-03-23,negative,62,2.0968
2015-03-30,positive,58,3.3103
2015-03-30,neutral,40,2.25
2015-03-30,negative,25,2.04
2015-04-06,positive,45,3.1111
2015-04-06,neutral,28,2.5
2015-04-06,negative,27,1.8889
2015-04-13,positive,30,2.7667
2015-04-13,neutral,23,2.3043
2015-04-13,negative,11,2.2727
2015-04-20,neutral,34,1.9412
2015-04-20,positive,26,3.1154
2015-04-20,negative,9,1.8889
2015-04-27,positive,45,3.1333
2015-04-27,neutral,30,2.1667
2015-04-27,negative,17,2.2941
2015-05-04,positive,31,3.0968
2015-05-04,neutral,27,2.963
2015-05-04,negative,15,2.1333
2015-05-11,positive,40,3.35
2015-05-11,neutral,30,2.8
2015-05-11,negative,13,2.3846
2015-05-18,positive,48,3.8542
2015-05-18,neutral,39,3.1538
2015-05-18,negative,12,2.0
2015-05-25,positive,46,3.3043
2015-05-25,neutral,24,2.875
2015-05-25,negative,17,2.1765
2015-06-01,positive,35,2.9143
2015-06-01,neutral,19,2.6842
2015-06-01,negative,15,2.4667
2015-06-08,positive,33,2.8182
2015-06-08,neutral,25,2.36
2015-06-08,negative,23,2.4348
2015-06-15,neutral,27,2.5926
2015-06-15,positive,26,3.2308
2015-06-15,negative,12,2.0833
2015-06-22,positive,38,2.9737
2015-06-22,neutral,22,2.2727
2015-06-22,negative,12,2.1667
2015-06-29,positive,28,2.4643
2015-06-29,neutral,23,2.2174
2015-06-29,negative,22,2.5
2015-07-06,neutral,31,2.4516
2015-07-06,positive,26,2.5769
2015-07-06,negative,19,2.3684
2015-07-13,positive,37,2.8919
2015-07-13,neutral,21,2.8095
2015-07-13,negative,10,2.5
2015-07-20,positive,35,2.9143
2015-07-20,neutral,24,2.4583
2015-07-20,negative,20,2.0
2015-07-27,positive,30,2.7333
2015-07-27,negative,27,2.2593
2015-07-27,neutral,27,2.2963
2015-08-03,positive,32,3.0938
2015-08-03,negative,23,2.1739
2015-08-03,neutral,20,2.55
2015-08-10,neutral,35,2.3429
2015-08-10,positive,30,2.9333
2015-08-10,negative,14,2.2143
2015-08-17,positive,37,2.8108
2015-08-17,neutral,19,2.0526
